No	BildNr	Risk	Trust	Health	Attractiveness	 CUE1_Appearance1_Ungroomed (vs. groomed) appearance_Abstract_2	 CUE2_Appearance2_Lot of (vs. no) body adornment_Abstract_0	 CUE3_Appearance3_Unshaved (vs. shaved)_Abstract_0	 CUE4_Appearance4_Worn out (vs. intact) clothes_Abstract_1	 CUE5_Appearance5_Provocative (vs. reserved) clothes_Abstract_1	 CUE6_Appearance6_Unconventional (vs. conventional) appearance_Abstract_1	 CUE7_Appearance7_Fashionable (vs. unfashionable) appearance_Abstract_1	 CUE8_Appearance8_Dark (vs. bright) clothes_Abstract_0	 CUE9_Appearance9_Clean (vs. dirty) clothes_Abstract_1	 CUE10_Body1_Tense (vs. relaxed) posture_Abstract_1	 CUE11_Body2_Musculous (vs. not musculous) stature_Abstract_1	 CUE12_Body3_Overweight (vs. underweight)_Abstract_0	 CUE13_Body4_Well (vs. badly) proportioned Stature_Abstract_1	 CUE14_Body5_Tall (vs.low) height_Abstract_0	 CUE15_Eyes1_Dark (vs. no dark) rings under eyes_Abstract_0	 CUE16_Eyes2_Reddened (vs. non-reddened) eyes_Abstract_0	 CUE17_Eyes3_Dark (vs. bright) eyes_Abstract_0	 CUE18_Face1_Happy (vs. sad) expression_Abstract_1	 CUE19_Face2_Babyish (vs. mature) Face_Abstract_1	 CUE20_Face3_Feminine (vs. masculine) face_Abstract_1	 CUE21_Face4_Exhausted (vs. powerful) expression_Abstract_1	 CUE22_Face5_Round (vs. narrow) face_Abstract_0	 CUE23_Face6_Worn (vs. fresh) face_Abstract_1	 CUE24_Face7_Worried (vs. unworried) expression_Abstract_1	 CUE25_Face8_Ugly (vs. beautiful) face_Abstract_1	 CUE26_Face9_Red (vs. pale) cheeks_Abstract_0	 CUE27_Face10_Narrow (vs. full) jaws_Abstract_0	 CUE28_Face11_Serious (vs. blithely) expression_Abstract_1	 CUE29_Face12_Average (vs. unusual) face_Abstract_1	 CUE30_Face13_Angry (vs. cheerful) expression_Abstract_1	 CUE31_Face14_Reddened (vs. non-reddened) face_Abstract_0	 CUE32_Face15_Friendly (vs. grumpy) expression_Abstract_1	 CUE33_Face16_Symmetric (vs. unsymmetric) face_Abstract_0	 CUE34_Face17_Strong (vs. no) growth of beard_Abstract_0	 CUE35_GenImp1_Self confident (vs. not)_Abstract_2	 CUE36_GenImp2_Cautious (vs. risk-seeking)_Abstract_2	 CUE37_GenImp3_Uneducated (vs. educated)_Abstract_2	 CUE38_GenImp4_Southern (vs. nordic) type_Abstract_1	 CUE39_GenImp5_Sporty (vs. unsporty)_Abstract_2	 CUE40_GenImp6_Scruffy (vs. kempt)_Abstract_2	 CUE41_GenImp7_Likeable (vs. unsympathetic)_Abstract_2	 CUE42_GenImp8_Attractive (vs. unattractive)_Abstract_2	 CUE43_GenImp9_Irresponsible (vs. responsible)_Abstract_2	 CUE44_GenImp10_Homosexual (vs. heterosexual)_Abstract_2	 CUE45_GenImp11_Popular (vs. unpopular)_Abstract_2	 CUE46_GenImp12_Selfish (vs. unselfish)_Abstract_2	 CUE47_GenImp13_Ill-looking (vs. healthy-looking)_Abstract_2	 CUE48_Hair1_Ungroomed (vs. groomed) hair_Abstract_1	 CUE49_Hair2_Long (vs. short) hair_Abstract_0	 CUE50_Hair3_Fashionable (vs. unfashionable) hairstyle_Abstract_1	 CUE51_Hair4_Dark (vs. bright) hair_Abstract_0	 CUE52_Mouth1_Smile (vs. non smile)_Abstract_0	 CUE53_Mouth2_Yellow (vs. white) teeth_Abstract_0	 CUE54_Mouth3_Full (vs. narrow) lips_Abstract_0	 CUE55_Set1_Pallid (vs. colorful) background_Abstract_0	 CUE56_Set2_Unorganized (vs. organized) background_Abstract_1	 CUE57_Set3_Alcohol (vs. no alcohol) visible_Abstract_0	 CUE58_Set4_Picture taken inside (vs. outside)_Abstract_0	 CUE59_Set5_Picture taken in nature (vs. civilization)_Abstract_0	 CUE60_Set6_Cigarettes (vs. no cigarettes) visible_Abstract_0	 CUE61_Set7_Food (vs. no food) visible_Abstract_0	 CUE62_Set8_Dark (vs. well-lit) background_Abstract_0	 CUE63_Set9_During sports activities (vs. not)_Abstract_0	 CUE64_Skin1_Unhealthy (vs. healthy) skin_Abstract_1	 CUE65_Skin2_Pale (vs. tanned) skin_Abstract_0	 CUE66_Skin3_Pimply (vs. pimple-free) skin_Abstract_0	 CUE67_Skin4_Many (vs. few) skin folds_Abstract_0	 CUE68_Skin5_Spotty (vs. spot-free) skin_Abstract_0	 CUE69_Skin6_Greasy (vs. dry) skin_Abstract_0	 CUE70_Skin7_Lots of (vs. no) skin visible_Abstract_0	 CUE71_View1_Coquettish (vs. no coquettish) gaze_Abstract_1	 CUE72_View2_Averted (vs. front-facing) gaze_Abstract_0	 CUE73_View3_Tired (vs. alert) gaze_Abstract_1
11	11	3.7	4.05	4.575	3.325	2.25	2.75	NaN	1.5	5.25	3.125	5.125	1.375	5.75	4	3.375	3.125	5.5	4.875	2.125	3.625	2.125	5.75	2.875	5	3.25	1.75	2.375	2.125	3.125	3.875	4.875	3.125	4	2.375	5	4.875	3.75	NaN	5.25	3.625	2	1.875	5.75	2.125	5.125	4.75	3	0.125	4.75	3.625	2.625	2.625	4.5	4.375	2.125	3.75	2.875	3.625	4.1429	2.5	1	8	0	7.875	7.5	5.875	7.125	3.125	5.125	2.875	2.75	3	4.25	3.375	5	1.375	1.875
12	12	4.15	3.75	4.25	4.5	2.75	3.875	NaN	1.75	5.625	4.125	6	1.4286	6.25	3.375	3.5	4.125	4.375	2.625	4.5	3.625	4.875	3.25	5	5.5	4.625	3.75	3.875	5.25	3.875	5.5	3.375	4.5	4.5	4	5.625	2.75	3.875	NaN	2.625	5	4.5	2.125	4.25	4	4	5.375	4.25	0	3.5	5.5	4.875	2.5	5.125	5.125	1	2.0625	3.875	3.25	2.25	2.375	0	7	1	7.25	7	2.375	7	3.375	2.625	3.625	1.875	3.25	3.625	2.875	4.875	5.875	5.125
13	13	4.475	4.575	4.85	5.275	2.25	3.5	NaN	2.5	5.25	3.5	5.375	2.375	4	2.25	2.625	3.375	5.625	3.75	2.4286	3	5.25	4.875	4	5.125	3.875	3.25	3.5	3.875	3.125	3.875	3.625	3.125	5	3	4.25	3.875	3.5	NaN	4	3.75	3.125	4.5	5.75	3	5.125	5.75	3.125	0	5.75	3.25	2.5	4	4.625	3.375	5	3.375	3.625	2.875	1.75	2.375	0	7	1	7.125	7	1.375	7.25	2.875	3.5	3.25	1.625	2.5	3.625	3	4	6.5	4
14	14	4.7	3.625	3.15	4.85	3.5	3.75	NaN	1.75	2.25	4.875	5.875	5.125	4.75	3.875	5.1429	2.375	6.125	4.125	4	3.125	4.7143	3.5	2.625	5	4.875	2.25	4.125	4.25	4.125	2.25	5.5	3.5	3.375	4.1429	1.875	2.875	5.5	NaN	5.375	1.875	3.875	3.375	3.5	3.875	3.375	5	3.875	0.5	4.125	5.125	5.875	4.125	2.25	5.5	4.5	1.875	5.125	3.875	5.5	3.25	0	7.625	0	8	7	4.875	7	4.5	5.5	4.625	1.625	2.25	2.75	6.125	4.875	6.375	3.5714
15	15	2.65	4.675	4.65	3.225	3	3.25	NaN	2.5	2.875	2.75	3.375	4.375	4.125	3	4.5714	3.875	4.375	3.375	3.375	2.5	3	5	4.75	5.25	4	3.625	3.125	3.625	5.25	2.125	3.75	3.25	5	2.5714	2.875	4.75	3.625	NaN	2.875	6	3.25	2.625	4.375	2.875	4.5	3.625	2.125	0	3.125	2.75	3.25	3	2	3.125	3.125	3.75	3.5	3.5	4	2.125	0	7	1	7	7	1.875	7.25	2.5	6	2.375	1.25	1.875	3.625	5.875	2.25	2.25	3.625
16	16	2.95	4.95	5.025	5.475	1.5	3.5	NaN	1	3	3.875	5.5	3.875	5.125	4.875	4.875	3.125	6.375	4.75	1.5	1.875	3.125	3.875	3.25	6.375	3.125	2.25	3	4.625	3.375	1.625	5.125	4.75	3.375	3	1.75	4.125	5.625	NaN	5.25	4.5	2.125	3.625	4.75	1.625	4.375	6.125	2.25	0.125	4.375	3.875	2.875	2.125	4.625	5.125	5.5	2.875	3.625	4.375	5.25	1.625	0	8	0	7	7	1.375	7	1.875	6.375	2.125	1.875	1.875	3.625	5	5.75	1.5	3.125
17	17	2.825	4.15	4.15	2.675	4.625	2.75	NaN	3.75	3.375	3.875	2.25	2.2857	3	5	4	4.375	3.375	4	2.625	2.7143	4.25	4.375	2.625	3.875	3	4.5	3.75	2.375	5.125	5	2.625	2.875	5.625	2.375	6	5	4	NaN	4.625	4.5	3.25	4.125	3.625	4.875	4.75	2.5	1.875	0	3.75	2.25	4.25	4	4	2.25	5.875	3.625	3.5714	3.375	2.875	3	0	7	1	7.125	7	2.625	7.125	4	3.75	3.875	3.125	2.875	3	5	1.125	6.875	2.25
18	18	4.85	3.25	3.125	2.95	4	4.75	NaN	3	5.625	3.25	4.625	4.375	3.5	4	4	4.125	4.375	3	3.125	3.875	6.125	3.75	3.625	5.375	4.5	5.375	5	5	6	4.375	2	4.5	4.375	3.5	4.75	3.25	2.375	NaN	3.375	5.5	4.125	4.875	3.125	5.25	4.375	4.125	3.625	0	4.25	4.375	4.25	3.625	5.625	4.5	6.75	2.5	4.5	5.125	4.75	3.75	0	7.875	0	7.125	7.125	5.25	7.125	5.1429	4.625	4.875	2.75	3.375	6.125	1.875	2.25	5.4286	4.875
19	19	4.125	4.35	4	3.375	3	4.5	NaN	2.625	3.125	3.25	3.625	4.875	4.5	4.125	3.875	3.25	4.5	3.125	2.75	3.5	5.125	5.75	2.875	4.125	4	3.375	3.5	3.375	4.75	4.375	4.25	2.75	4.375	3.125	5.25	4.875	3	NaN	4.625	3.875	2.625	3.7143	4.875	3.625	5.125	3.375	3	0.5	4.25	3.25	3.875	3.625	2	4.125	4.4286	4.375	3.875	3.5	1.625	3	0	8	0	7.125	7.125	4.5	7.125	3.75	3	3.5	2.375	2.125	4.375	6.125	4.375	4.7143	4.625
20	20	3.175	4.55	4.85	3.725	3.125	3.5	NaN	1.5	4.5	3	4.75	3.25	5	5.5	5.375	2.375	5.5	3	3.375	2.75	3.875	3.375	2.875	5.25	4.375	2.25	3.125	3.875	4.75	4.375	4.75	4	5.5	4	4.5	3.625	4.5	NaN	4.25	5.125	2.5	3.25	5.375	3.625	4.375	4.5	2	0	3.875	3.375	3.75	3.875	4.25	3.375	4.5	1.625	4.25	2.875	2	3.75	0	7.875	0	7.125	7.625	3.625	7.125	3.75	3.75	3.5	3	2.125	4	2.7143	1.625	7	3.125
21	21	3.275	4.1	3.8	1.825	4	2.375	NaN	2.625	4.125	3.25	3.375	2.75	4	3.25	4.25	4.875	3.375	3.75	4.375	4.375	5	3.75	2.8571	5.5714	4	5	4.625	3.25	6.25	3.75	2.25	3.375	4.5	3.125	3.625	3.5	2.375	NaN	3.5	5	3.875	4.25	2.125	5.125	4.125	2.5	2.625	0.125	3.125	3	4.875	4	3.75	2.625	6.375	3	4.625	5.125	1.5	5	0	7.125	0	7.125	7.125	3	7	3.875	3.75	3.875	2.75	2.5	4.25	5.5	1.5	3.2857	4.375
22	22	3.3	4.25	5	3.45	4	4.375	NaN	4.875	3.5	3.5	2.625	2.625	2.375	3.25	2.625	3.375	4.875	3.625	3.5	2.625	4.125	5.75	4.75	3.75	2.75	2.875	1.875	2.125	4	3.5	4.125	2.125	4.125	2.125	3.375	5.625	4.25	NaN	5.375	2.875	3.5	2	6.625	4.375	6.125	3.625	1.75	0.5	5.25	2.5	2.125	3.25	2.25	3.625	5.125	4.875	3.125	2.75	3.25	4.875	0	7	0.875	7	7	2	7.875	3.25	5.125	3	1.875	2.375	3.5	4.5	2.625	2.1429	2.25
23	23	3.5	4.425	5.825	5.725	2.25	4.625	NaN	2.5	6.125	3.25	6	2.375	5.5	4.125	3.25	3.75	6	4.75	2.625	3	3.25	4.75	4.5	5.625	2.875	2.875	2.625	2.5	2.75	4.875	4.875	2.875	4.625	2.625	4.125	4	4.875	NaN	4.625	4.125	3.625	3.25	4.75	3	4.75	6	3	0	6.125	4.75	1.75	3.5	5	4.875	3.125	3.375	2.625	3.875	2.125	2.5	0	7	1	7	7	1.625	7.875	3	2.375	2.5	1.625	1.75	4.25	1.375	4	4.875	3.125
24	24	2.825	5.125	5.825	6.45	1.625	3.5	NaN	1.125	6	3.125	6.375	3.875	6.375	2.625	3.5	2.375	6.125	3.125	3.875	2.25	5.125	6.875	5.125	6.5	1.5	2.625	1.125	1	1.25	3.75	3.125	1.25	3.375	1.25	2.125	6.875	6.25	NaN	6.125	3.625	2.25	6	5.75	1.25	6.375	6.75	2.5	0	6.875	2.875	1.125	2.25	5.625	5.625	4.75	6.625	1.75	3.5	1	3.75	0	7	1	7	7	2.25	7.125	1.75	2.75	1.75	1.125	1.25	3.875	3.5	5.5	1.375	1.5
25	25	4.45	3.575	4.55	5.35	2.125	5.5	NaN	1.25	5.25	3.125	6.125	6.625	5.75	3	3.625	2.875	6.25	4.25	4.125	3	6.25	4.875	3.875	6.125	2.875	2.5	2.25	2.25	2.875	3.375	4.625	3.75	3.75	3.375	2	4.25	5.375	NaN	5.375	1.875	4.125	6.7143	4.875	2.875	3.875	6.375	3.125	0	4.25	6	3.25	1.875	6.375	5.125	6.125	2.25	2.875	4.25	4.5	2.625	0	7	0	7.125	7.875	3.5	7	2	2.5	2.875	1.5	2.125	4	4.2857	6.5	1.75	3.75
26	26	3.975	3.85	4.95	5.075	4.125	3.25	NaN	3.5	5.625	3.375	4.875	4.625	3.5	3	3.5	2.75	6.625	4.125	3.125	2.875	3	2.625	5.125	6	4.875	2	3.125	4.5	4.375	3.5	4.5	4.875	4.375	4.375	3	2.75	4.125	NaN	3.25	4	3.125	2	5.125	4.75	4.75	6	3.25	0	3.625	3.875	4.5	3.625	5	4.25	2.25	1.375	4	4	2.375	4.375	0	7	1	7	7.625	1.75	7.625	2.75	4.75	3.25	1.75	2.125	3.125	2.125	4.125	6.375	4.25
27	27	4.55	3.2	4.125	4.6	3.25	3.875	NaN	1.375	5.125	2.875	5	6.375	4.125	4.75	4	3.875	5.375	3.75	2	2.75	4	2.625	3	5.4286	4.625	3.375	3.625	5.75	3.75	3.625	4.375	5.375	4.375	3.875	3.125	2.375	5	NaN	3.25	4.75	5	2.375	4.875	2.75	3.5	5	4.75	0	3.5	5.25	4.125	3.375	4.375	3.5714	1.375	1.625	4	5.125	4.625	2.125	0	8	0	7.25	7	4.75	7	2.75	4.375	2.25	1.625	1.625	3.875	3.25	3.375	1.125	4.375
28	28	2.975	3.5	3.25	1.975	3.8571	2	NaN	3.75	3.75	2.875	3	5.25	2.375	3.625	4.125	5.5	3.25	4.5	4.375	3.375	3.5	3.875	4.125	4.625	4.875	5.375	3.875	4.25	4.625	4.625	3	3.625	5.375	3.5	4.875	2.875	3.25	NaN	3.875	4.75	4.125	2	2.75	4	4.125	3.375	3.75	0	3	4.125	5.5	4.625	3.75	2.75	2	2.375	4	3.625	2.625	3.375	0	7	0.625	7	7	3	7.25	3.875	5.75	3.75	2.125	2.625	3.625	4.75	3.625	2.125	4
29	29	2.725	4.725	5.1	4.775	3	4.5	NaN	2.25	3.375	3.125	4.75	4.375	4.5	4.5	3.625	3.5	5.75	4.375	3	2.25	2.25	3.375	3.75	4.75	4.125	3.25	3.25	4.375	3.625	4.75	3.375	5	5	3.125	4.375	2.75	4.375	NaN	3.375	4.875	2.875	1.625	5.75	3.625	4.25	4.875	2.625	0	3.875	3.875	3.25	2.375	5.25	2.875	1.5	2	3.375	2.875	2.375	3	0	7	0.75	7	7	2.375	7.375	3.25	4.875	3.75	1.75	2.125	3.25	4.625	3.2857	6.375	2.625
30	30	4.775	3.825	3.9	5.55	2.875	3.5	NaN	1.875	4.375	2.625	5	6.625	4.75	3.75	4.5	2.75	5.75	3.875	3.375	3.25	2.75	1.75	5.125	5.625	5.5	2.75	4	6.125	2.375	4	4.625	5.625	4	5.25	3.125	2.125	5.25	NaN	3.25	5.125	4.25	2.75	5.375	2.875	4.125	5.875	4.25	0.125	4.125	4.25	4.25	2.75	6.375	4.625	1.375	1.375	3.125	5	3.5	3.125	0	7	0.5	7	7	4.375	7.125	2.5	4.125	2.25	1.25	1.25	3.625	4.125	3.875	6.5	4.75
31	31	2.625	5.175	4.55	2.175	3.4375	1.875	NaN	3	3.875	2.5	2.25	4.25	2.75	3.25	4	3.75	4.25	3.875	4	2.75	3	6.75	1.4286	3.75	2	3.625	2.5	1.75	4.125	3.125	4.25	1.875	5.125	1.25	3.5	6.5	4.875	NaN	6	5.375	2.25	2.375	4.125	3.625	6	2.75	1.625	0.25	4.375	1.375	3.875	3.8571	1.75	2.375	3.25	6.5	1.875	1.5	5.125	2.75	0.125	8	0	7.125	7.25	3.375	7	4.125	6.375	3.375	3.75	3	5.125	4.25	2.375	2.25	2.375
